,0,1,2,3
0,https://leetcode.com/problems/maximum-good-people-based-on-statements/,2151. Maximum Good People Based on Statements,48.6%,Hard
1,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points/,2152. Minimum Number of Lines to Cover Points,46.7%,Medium
2,https://leetcode.com/problems/the-number-of-passengers-in-each-bus-ii/,2153. The Number of Passengers in Each Bus II,50.2%,Hard
3,https://leetcode.com/problems/keep-multiplying-found-values-by-two/,2154. Keep Multiplying Found Values by Two,73.1%,Easy
4,https://leetcode.com/problems/all-divisions-with-the-highest-score-of-a-binary-array/,2155. All Divisions With the Highest Score of a Binary Array,63.4%,Medium
5,https://leetcode.com/problems/find-substring-with-given-hash-value/,2156. Find Substring With Given Hash Value,22.1%,Hard
6,https://leetcode.com/problems/groups-of-strings/,2157. Groups of Strings,25.3%,Hard
7,https://leetcode.com/problems/amount-of-new-area-painted-each-day/,2158. Amount of New Area Painted Each Day,55.0%,Hard
8,https://leetcode.com/problems/order-two-columns-independently/,2159. Order Two Columns Independently,63.3%,Medium
9,https://leetcode.com/problems/minimum-sum-of-four-digit-number-after-splitting-digits/,2160. Minimum Sum of Four Digit Number After Splitting Digits,87.9%,Easy
10,https://leetcode.com/problems/partition-array-according-to-given-pivot/,2161. Partition Array According to Given Pivot,84.5%,Medium
11,https://leetcode.com/problems/minimum-cost-to-set-cooking-time/,2162. Minimum Cost to Set Cooking Time,39.5%,Medium
12,https://leetcode.com/problems/minimum-difference-in-sums-after-removal-of-elements/,2163. Minimum Difference in Sums After Removal of Elements,46.6%,Hard
13,https://leetcode.com/problems/sort-even-and-odd-indices-independently/,2164. Sort Even and Odd Indices Independently,66.5%,Easy
14,https://leetcode.com/problems/smallest-value-of-the-rearranged-number/,2165. Smallest Value of the Rearranged Number,51.3%,Medium
15,https://leetcode.com/problems/design-bitset/,2166. Design Bitset,31.5%,Medium
16,https://leetcode.com/problems/minimum-time-to-remove-all-cars-containing-illegal-goods/,2167. Minimum Time to Remove All Cars Containing Illegal Goods,40.2%,Hard
17,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency/,2168. Unique Substrings With Equal Digit Frequency,59.6%,Medium
18,https://leetcode.com/problems/count-operations-to-obtain-zero/,2169. Count Operations to Obtain Zero,75.5%,Easy
19,https://leetcode.com/problems/minimum-operations-to-make-the-array-alternating/,2170. Minimum Operations to Make the Array Alternating,33.2%,Medium
