,0,1,2,3
0,https://leetcode.com/problems/online-stock-span/,901. Online Stock Span,65.3%,Medium
1,https://leetcode.com/problems/numbers-at-most-n-given-digit-set/,902. Numbers At Most N Given Digit Set,41.4%,Hard
2,https://leetcode.com/problems/valid-permutations-for-di-sequence/,903. Valid Permutations for DI Sequence,57.7%,Hard
3,https://leetcode.com/problems/fruit-into-baskets/,904. Fruit Into Baskets,42.6%,Medium
4,https://leetcode.com/problems/sort-array-by-parity/,905. Sort Array By Parity,75.7%,Easy
5,https://leetcode.com/problems/super-palindromes/,906. Super Palindromes,39.2%,Hard
6,https://leetcode.com/problems/sum-of-subarray-minimums/,907. Sum of Subarray Minimums,34.3%,Medium
7,https://leetcode.com/problems/smallest-range-i/,908. Smallest Range I,67.7%,Easy
8,https://leetcode.com/problems/snakes-and-ladders/,909. Snakes and Ladders,40.9%,Medium
9,https://leetcode.com/problems/smallest-range-ii/,910. Smallest Range II,34.6%,Medium
10,https://leetcode.com/problems/online-election/,911. Online Election,52.0%,Medium
11,https://leetcode.com/problems/sort-an-array/,912. Sort an Array,59.5%,Medium
12,https://leetcode.com/problems/cat-and-mouse/,913. Cat and Mouse,35.1%,Hard
13,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/,914. X of a Kind in a Deck of Cards,32.0%,Easy
14,https://leetcode.com/problems/partition-array-into-disjoint-intervals/,915. Partition Array into Disjoint Intervals,48.6%,Medium
15,https://leetcode.com/problems/word-subsets/,916. Word Subsets,54.0%,Medium
16,https://leetcode.com/problems/reverse-only-letters/,917. Reverse Only Letters,61.5%,Easy
17,https://leetcode.com/problems/maximum-sum-circular-subarray/,918. Maximum Sum Circular Subarray,38.2%,Medium
18,https://leetcode.com/problems/complete-binary-tree-inserter/,919. Complete Binary Tree Inserter,64.9%,Medium
19,https://leetcode.com/problems/number-of-music-playlists/,920. Number of Music Playlists,50.6%,Hard
20,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,921. Minimum Add to Make Parentheses Valid,76.2%,Medium
21,https://leetcode.com/problems/sort-array-by-parity-ii/,922. Sort Array By Parity II,70.7%,Easy
22,https://leetcode.com/problems/3sum-with-multiplicity/,923. 3Sum With Multiplicity,45.4%,Medium
23,https://leetcode.com/problems/minimize-malware-spread/,924. Minimize Malware Spread,42.1%,Hard
24,https://leetcode.com/problems/long-pressed-name/,925. Long Pressed Name,33.7%,Easy
25,https://leetcode.com/problems/flip-string-to-monotone-increasing/,926. Flip String to Monotone Increasing,59.6%,Medium
26,https://leetcode.com/problems/three-equal-parts/,927. Three Equal Parts,39.7%,Hard
27,https://leetcode.com/problems/minimize-malware-spread-ii/,928. Minimize Malware Spread II,42.6%,Hard
28,https://leetcode.com/problems/unique-email-addresses/,929. Unique Email Addresses,67.2%,Easy
29,https://leetcode.com/problems/binary-subarrays-with-sum/,930. Binary Subarrays With Sum,51.0%,Medium
30,https://leetcode.com/problems/minimum-falling-path-sum/,931. Minimum Falling Path Sum,68.5%,Medium
31,https://leetcode.com/problems/beautiful-array/,932. Beautiful Array,65.1%,Medium
32,https://leetcode.com/problems/number-of-recent-calls/,933. Number of Recent Calls,73.2%,Easy
33,https://leetcode.com/problems/shortest-bridge/,934. Shortest Bridge,54.0%,Medium
34,https://leetcode.com/problems/knight-dialer/,935. Knight Dialer,50.0%,Medium
35,https://leetcode.com/problems/stamping-the-sequence/,936. Stamping The Sequence,63.3%,Hard
36,https://leetcode.com/problems/reorder-data-in-log-files/,937. Reorder Data in Log Files,56.4%,Medium
37,https://leetcode.com/problems/range-sum-of-bst/,938. Range Sum of BST,85.4%,Easy
38,https://leetcode.com/problems/minimum-area-rectangle/,939. Minimum Area Rectangle,53.0%,Medium
39,https://leetcode.com/problems/distinct-subsequences-ii/,940. Distinct Subsequences II,44.4%,Hard
40,https://leetcode.com/problems/valid-mountain-array/,941. Valid Mountain Array,33.5%,Easy
41,https://leetcode.com/problems/di-string-match/,942. DI String Match,76.8%,Easy
42,https://leetcode.com/problems/find-the-shortest-superstring/,943. Find the Shortest Superstring,44.8%,Hard
43,https://leetcode.com/problems/delete-columns-to-make-sorted/,944. Delete Columns to Make Sorted,69.6%,Easy
44,https://leetcode.com/problems/minimum-increment-to-make-array-unique/,945. Minimum Increment to Make Array Unique,50.4%,Medium
45,https://leetcode.com/problems/validate-stack-sequences/,946. Validate Stack Sequences,67.6%,Medium
46,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/,947. Most Stones Removed with Same Row or Column,58.8%,Medium
47,https://leetcode.com/problems/bag-of-tokens/,948. Bag of Tokens,52.1%,Medium
48,https://leetcode.com/problems/largest-time-for-given-digits/,949. Largest Time for Given Digits,35.2%,Medium
49,https://leetcode.com/problems/reveal-cards-in-increasing-order/,950. Reveal Cards In Increasing Order,77.7%,Medium
